Node #,Callsign,Name,Grid Square,Latitude,Longitude,Elevation (M),Radio,Antenna,System,Magnetometer,Temperature Sensor
0,TEST,TESTNODE,JJ00aa,,,0,A Sensitive Radio,Wire,"RasPi3B+, FLDigi 4.1.13",RM3100,MCP9808
1,N8OBJ,N8OBJ,EN91fh,41.32,-81.5,285,Grape Gen 1,DX Eng RF-PRO-1B Mag Loop /w N8OBJ preamp,"RasPi3B+, FLDigi 4.1.13",,
2,AD8Y,AD8Y,EN91fl,41.49,-81.58,300,ICOM IC-7610,,"RasPi3B+, FLDigi 4.1.13",,
3,N8OBJ,N8OBJ,EN91fh,41.32,-81.5,285,Grape Gen 1,DX Eng RF-PRO-1B Mag Loop /w N8OBJ preamp,"RasPi3B+, FLDigi 4.1.13",,
4,AD8Y,AD8Y,EN91fl,41.49,-81.58,300,Grape Gen 1,,"RasPi3B+, FLDigi 4.1.13",,
5,KE8HPA,KE8HPA,EN80nd,40.13,-82.85,275,DXF1200,,"RasPi3B+, FLDigi 4.1.09",,
6,KD8OXT,KD8OXT,EN91fl,41.5,-81.57,300,DXF1200,,"RasPi3B+, FLDigi 4.1.09",,
7,N8OBJ,N8OBJ,EN91fh,41.32,-81.5,285,Grape Gen 1,DX Eng RF-PRO-1B Mag Loop /w N8OBJ preamp,"RasPi3B+, FLDigi 4.1.13",,
8,AD8Y,AD8Y,EN91fl,41.49,-81.58,300,Grape Gen 1,,"RasPi3B+, FLDigi 4.1.13",,
9,KB3UMD,KB3UMD,FN20ge,40.18,-75.49,75,Grape Gen 1,,"RasPi4B, FLDigi 4.1.13",,
10,KD8SYG,KD8SYG,EN91ii,41.35,-81.28,330,Grape Gen 1,G5RV 80M 102' long,"RasPi4B, FLDigi 4.1.13",,
11,N8OBJ,N8OBJ,EN91fh,41.32,-81.5,0,Grape Gen 1,,"RasPi4B, FLDigi 4.1.13",,
12,WA5FRF,WA5FRF,EL09nn,29.57,-98.89,412,ICOM IC-7610 and R8600,"30m, 40m, and 160m dipoles","Spectrum Lab, FLDIGI 4.1.14",,
13,W3LLA,W3LLA,DL70ln,40.54,-105.05,1511,Yaesu FT-817 wLBGPSDO,Wire,"RasPi4B, FLDigi 4.1.13",,
14,W2NAF,W2NAF,FN21ei,41.34,-75.6,0,Grape Gen 1,,"RasPi4B, FLDigi 4.1.13",,
15,KD2UHN,KD2UHN,FN20mp,40.63,-74.99,136,Grape Gen 1,80M OCF Dipole,"RasPi4B, FLDigi 4.1.13",,
16,WW0WWV,WW0WWV,DN70kn,40.56,-105.11,1546,Grape Gen 1,20M Vertical,"RasPi4B, FLDigi 4.1.13",,
17,WA2UAR,WA2UAR,FM29jw,39.96,-75.17,3,Grape Gen 1,HD6-160 Screwdriver,"RasPi4B, FLDigi 4.1.13",,
18,W6BHZ,W6BHZ,CM95qh,35.3,-120.66,0,Grape Gen 1,,"RasPi4B, FLDigi 4.1.13",,
19,AB4EJ,AB4EJ,EM63fj,33.4,-87.54,110,Grape Gen 1,Hexbeam ? 80m dipole,"RasPi4B, FLDigi 4.1.13",,
20,K2MFF,K2MFF,FN20vr,40.74,-74.18,50,Grape Gen 1,Inverted V,"RasPi4B, FLDigi 4.1.13",,
21,KV0S,KV0S,EM38tv,38.89,-92.36,220,,,,RM3100,MCP9808
22,KD8CGH,KD8CGH,EN91he,41.2,-81.34,300,Grape Gen 1,tuned small loop,"RasPi4B, FLDigi 4.1.13",,
23,KD0EAG ,KD0EAG ,EM38uw,38.92,-92.3,220,No_Radio1,No_Antenna,"RasPi-4,  5.4.51-v7l+",RM3100,MCP9808
24,PA0SLT,PA0SLT,JO33kg,53.28,6.91,0,Grape Gen 1,,"RasPi4B, FLDigi 4.1.13",,
25,K2KGJ,K2KGJ,FN32fg,42.26,-73.54,372,,,,RM3100,MCP9808
26,KE8QEP,KE8QEP,EN91id,41.16,-81.25,334,Grape Gen 1,Tuned Horz Dipole 10? Above gnd,"RasPi4B, FLDigi 4.1.13",,
27,W0DAS,W0DAS,DN70kn,40.56,-105.11,1546,Grape Gen 1,30M Dipole,"RasPi4B, FLDigi 4.1.13",,
28,N1JBJ,N1JBJ,FN42kn,42.57,-71.09,31,Grape Gen 1,40M Homebrew Dipole,"RasPi4B, FLDigi 4.1.13",,
29,W7LUX,W7LUX,DM45dc,35.1,-111.69,2091,,,,,
30,K4BSE,K4BSE,EM73sj,33.39,-84.47,240,Grape Gen 1 Rcvr 1,Loop,"RasPi4B, FLDigi 4.1.13",,
31,W1MTI,W1MTI,FN42fl,42.5,-71.58,100,Grape Gen 1 Rcvr 1,long wire,"RasPi4B, FLDigi 4.1.13",,
32,AD0RR,AD0RR,EM37je,37.19,-93.24,382,,30 meter dipole,,,
33,AB1XB,AB1XB,FN42el,42.5,-71.59,137,Grape Gen 1 Rcvr 1,30M dipole,"RasPi4B, FLDigi V4.1.13",,
